Source ID	Magnification	Lens Z	Source Z	Peak Apparent Magnitude	Peak Absolute Magnitude	
SDSSJ0029-0055	23.0	0.23	0.93	21.131214618121707	-22.774319590043984	
SDSSJ0037-0942	6.0	0.2	0.63	21.552365542432344	-21.31537812595911	
SDSSJ0044+0113	2.0	0.12	0.2	19.833705807006492	-20.122574989159954	
SDSSJ0109+1500	2.0	0.29	0.52	22.240925363884866	-20.122574989159954	
SDSSJ0157-0056	2.0	0.51	0.92	23.753976169841987	-20.122574989159954	
SDSSJ0216-0813	3.0	0.33	0.52	21.800697216245663	-20.562803136799157	
SDSSJ0252+0039	16.0	0.28	0.98	21.66571168766046	-22.380299956639814	
SDSSJ0330-0020	4.0	0.35	1.07	23.406786225207473	-20.875149978319907	
SDSSJ0405-0455	16.0	0.08	0.81	21.155448196213523	-22.380299956639814	
SDSSJ0728+3835	10.0	0.21	0.69	21.238688801318904	-21.87	
SDSSJ0737+3216	14.0	0.32	0.58	20.414419300480418	-22.235320089195596	
SDSSJ0822+2652	7.0	0.24	0.59	21.211976888864044	-21.482745100035643	
SWELLSJ0841+3824	5.0	0.12	0.66	21.873393191076037	-21.117425010840048	
SDSSJ0903+4116	8.0	0.43	1.06	22.628987804103136	-21.62772496747986	
SDSSJ0912+0029	6.0	0.16	0.32	19.802161153211475	-21.31537812595911	
SDSSJ0935-0003	3.0	0.35	0.47	21.537526539588885	-20.562803136799157	
SDSSJ0936+0913	7.0	0.19	0.59	21.211976888864044	-21.482745100035643	
SDSSJ0946+1006	18.0	0.22	0.61	20.274390771992312	-22.508181262758267	
SDSSJ0955+0101	4.0	0.11	0.32	20.24238930085068	-20.875149978319907	
SDSSJ0956+5100	8.0	0.24	0.47	20.472604708908182	-21.62772496747986	
SDSSJ0959+0410	5.0	0.13	0.54	21.344779091356482	-21.117425010840048	
SDSSJ0959+4416	9.0	0.24	0.53	20.657681306573014	-21.755606273598314	
SDSSJ1016+3859	5.0	0.17	0.44	20.812214675690836	-21.117425010840048	
SDSSJ1020+1122	6.0	0.28	0.55	21.194901746240948	-21.31537812595911	
SWELLSJ1029+0420	4.0	0.1	0.62	21.950332537231073	-20.875149978319907	
SDSSJ1032+5322	3.0	0.13	0.33	20.63231433520207	-20.562803136799157	
SDSSJ1100+5329	13.0	0.32	0.86	21.54105085255892	-22.15485838076709	
SDSSJ1103+5322	3.0	0.16	0.74	22.731877598141484	-20.562803136799157	
SDSSJ1106+5228	25.0	0.1	0.41	18.882962723752375	-22.864850021680095	
SDSSJ1112+0826	4.0	0.27	0.63	21.992593690071548	-20.875149978319907	
SDSSJ1142+1001	3.0	0.22	0.5	21.698382284741744	-20.562803136799157	
SDSSJ1143-0144	4.0	0.11	0.4	20.809313753160612	-20.875149978319907	
SDSSJ1153+4612	10.0	0.18	0.88	21.887453183782373	-21.87	
SDSSJ1204+0358	9.0	0.16	0.63	21.11213739479314	-21.755606273598314	
SDSSJ1205+4910	13.0	0.21	0.48	20.000125166847983	-22.15485838076709	
SDSSJ1213+6708	8.0	0.12	0.64	21.28164965121979	-21.62772496747986	
SDSSJ1250+0523	10.0	0.23	0.8	21.63256928302413	-21.87	
SDSSJ1251-0208	4.0	0.22	0.78	22.559842513620094	-20.875149978319907	
SDSSJ1416+5136	4.0	0.3	0.81	22.66059817453343	-20.875149978319907	
SDSSJ1420+6019	13.0	0.06	0.54	20.30734572142944	-22.15485838076709	
SDSSJ1430+4105	6.0	0.28	0.58	21.334361263716904	-21.31537812595911	
SDSSJ1432+6317	4.0	0.12	0.66	22.115668223596177	-20.875149978319907	
SDSSJ1436-0000	4.0	0.29	0.8	22.627419304704222	-20.875149978319907	
SDSSJ1443+0304	7.0	0.13	0.42	20.327005478218645	-21.482745100035643	
SDSSJ1451-0239	11.0	0.13	0.52	20.390018640149258	-21.973481712895563	
SDSSJ1525+3327	4.0	0.36	0.72	22.346620606148978	-20.875149978319907	
SDSSJ1538+5817	8.0	0.14	0.53	20.785562612691468	-21.62772496747986	
SDSSJ1621+3931	8.0	0.24	0.6	21.11126722532242	-21.62772496747986	
SDSSJ1627-0053	20.0	0.21	0.52	19.740925363884866	-22.622574989159954	
SDSSJ1630+4520	9.0	0.25	0.79	21.71338099442352	-21.755606273598314	
SDSSJ1636+4707	8.0	0.23	0.67	21.402940056042542	-21.62772496747986	
SDSSJ2238-0754	12.0	0.14	0.71	21.11663209745363	-22.067953115119064	
SDSSJ2300+0022	12.0	0.23	0.46	19.97663180462951	-22.067953115119064	
SDSSJ2303+1422	8.0	0.16	0.52	20.73577538556496	-21.62772496747986	
SDSSJ2321-0939	12.0	0.08	0.53	20.345334465052265	-22.067953115119064	
SDSSJ0143-1006	3.0	0.22	1.1	23.79342207723008	-20.562803136799157	
SDSSJ0159-0006	6.0	0.16	0.75	22.01505191512418	-21.31537812595911	
SDSSJ0324+0045	14.0	0.32	0.92	21.641231069806345	-22.235320089195596	
SDSSJ0324-0110	4.0	0.45	0.62	21.950332537231073	-20.875149978319907	
SDSSJ0753+3416	27.0	0.14	0.96	21.042275432981352	-22.94840941039747	
SDSSJ0754+1927	5.0	0.15	0.74	22.177255724100593	-21.117425010840048	
SDSSJ0757+1956	9.0	0.12	0.83	21.845326983806405	-21.755606273598314	
